clip_id,file_name,person_id,labeler_a,labeler_b,label_final,note
--Ymqszjv54.001,--Ymqszjv54.001.mp4,--Ymqszjv54,,,0.6898,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Surprise 0.24, tension=0.310) - 사람 검수 전"
--Ymqszjv54.003,--Ymqszjv54.003.mp4,--Ymqszjv54,,,0.7335,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.22, tension=0.267) - 사람 검수 전"
--Ymqszjv54.004,--Ymqszjv54.004.mp4,--Ymqszjv54,,,0.6987,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.30, tension=0.301) - 사람 검수 전"
--Ymqszjv54.005,--Ymqszjv54.005.mp4,--Ymqszjv54,,,0.6869,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.28, tension=0.313) - 사람 검수 전"
-2qsCrkXdWs.001,-2qsCrkXdWs.001.mp4,-2qsCrkXdWs,,,0.6213,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Fear 0.28, tension=0.379) - 사람 검수 전"
-55DRRMTppE.000,-55DRRMTppE.000.mp4,-55DRRMTppE,,,0.7139,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.26, tension=0.286) - 사람 검수 전"
-55DRRMTppE.005,-55DRRMTppE.005.mp4,-55DRRMTppE,,,0.7193,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Surprise 0.21, tension=0.281) - 사람 검수 전"
-5riMLK-PgU.001,-5riMLK-PgU.001.mp4,-5riMLK-PgU,,,0.7627,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Surprise 0.26, tension=0.237) - 사람 검수 전"
-6otZ7M-Mro.000,-6otZ7M-Mro.000.mp4,-6otZ7M-Mro,,,0.7666,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Happiness 0.23, tension=0.233) - 사람 검수 전"
-6otZ7M-Mro.001,-6otZ7M-Mro.001.mp4,-6otZ7M-Mro,,,0.7187,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.21, tension=0.281) - 사람 검수 전"
-8asrRvfJWA.003,-8asrRvfJWA.003.mp4,-8asrRvfJWA,,,0.7513,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.30, tension=0.249) - 사람 검수 전"
-8asrRvfJWA.004,-8asrRvfJWA.004.mp4,-8asrRvfJWA,,,0.7883,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Surprise 0.29, tension=0.212) - 사람 검수 전"
-9BZ8A9U7TE.000,-9BZ8A9U7TE.000.mp4,-9BZ8A9U7TE,,,0.7352,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.43, tension=0.265) - 사람 검수 전"
-9BZ8A9U7TE.003,-9BZ8A9U7TE.003.mp4,-9BZ8A9U7TE,,,0.728,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.42, tension=0.272) - 사람 검수 전"
-9BZ8A9U7TE.004,-9BZ8A9U7TE.004.mp4,-9BZ8A9U7TE,,,0.7517,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.43, tension=0.248) - 사람 검수 전"
-AmMDnVl4s8.003,-AmMDnVl4s8.003.mp4,-AmMDnVl4s8,,,0.7984,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Happiness 0.27, tension=0.202) - 사람 검수 전"
