[device] mps 사용 (torch 2.4.1, batch=32)
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1785564072.546079  152379 gl_context.cc:357] GL version: 2.1 (2.1 Metal - 90.5), renderer: Apple M5 Pro
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
W0000 00:00:1785564072.547601  153045 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1785564072.548779  153042 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
/Users/mac/Desktop/ssafy/공통 AI 모의 면접, 면접 스터디 서비스/S15P11D202/ai-evaluate/venv/lib/python3.11/site-packages/google/protobuf/symbol_database.py:55: UserWarning: SymbolDatabase.GetPrototype() is deprecated. Please use message_factory.GetMessageClass() instead. SymbolDatabase.GetPrototype() will be removed soon.
  warnings.warn('SymbolDatabase.GetPrototype() is deprecated. Please '
[ok] -6otZ7M-Mro.003.mp4 top=Happiness(0.64) confidence=0.879 tension=0.121 person_id=-6otZ7M-Mro
[ok] -6otZ7M-Mro.005.mp4 top=Neutral(0.24) confidence=0.662 tension=0.338 person_id=-6otZ7M-Mro
[ok] -8asrRvfJWA.001.mp4 top=Neutral(0.29) confidence=0.725 tension=0.275 person_id=-8asrRvfJWA
[ok] -9BZ8A9U7TE.002.mp4 top=Neutral(0.47) confidence=0.706 tension=0.294 person_id=-9BZ8A9U7TE
[ok] -AmMDnVl4s8.001.mp4 top=Happiness(0.57) confidence=0.854 tension=0.146 person_id=-AmMDnVl4s8
[ok] -BDSWZIF-WY.000.mp4 top=Anger(0.24) confidence=0.609 tension=0.391 person_id=-BDSWZIF-WY
[ok] -DOqN0d8KHw.000.mp4 top=Neutral(0.39) confidence=0.775 tension=0.225 person_id=-DOqN0d8KHw
[ok] -DOqN0d8KHw.001.mp4 top=Neutral(0.33) confidence=0.772 tension=0.228 person_id=-DOqN0d8KHw
[ok] -N6QKrbnaDs.002.mp4 top=Neutral(0.26) confidence=0.627 tension=0.373 person_id=-N6QKrbnaDs
