clip_id,file_name,person_id,labeler_a,labeler_b,label_final,note
-6otZ7M-Mro.003,-6otZ7M-Mro.003.mp4,-6otZ7M-Mro,,,0.8898,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Happiness 0.64, tension=0.110) - 사람 검수 전"
-6otZ7M-Mro.005,-6otZ7M-Mro.005.mp4,-6otZ7M-Mro,,,0.7137,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.24, tension=0.286) - 사람 검수 전"
-8asrRvfJWA.001,-8asrRvfJWA.001.mp4,-8asrRvfJWA,,,0.7649,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.29, tension=0.235) - 사람 검수 전"
-9BZ8A9U7TE.002,-9BZ8A9U7TE.002.mp4,-9BZ8A9U7TE,,,0.7751,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.47, tension=0.225) - 사람 검수 전"
-AmMDnVl4s8.001,-AmMDnVl4s8.001.mp4,-AmMDnVl4s8,,,0.8761,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Happiness 0.57, tension=0.124) - 사람 검수 전"
-BDSWZIF-WY.000,-BDSWZIF-WY.000.mp4,-BDSWZIF-WY,,,0.6809,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Anger 0.24, tension=0.319) - 사람 검수 전"
-DOqN0d8KHw.000,-DOqN0d8KHw.000.mp4,-DOqN0d8KHw,,,0.7994,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.39, tension=0.201) - 사람 검수 전"
-DOqN0d8KHw.001,-DOqN0d8KHw.001.mp4,-DOqN0d8KHw,,,0.7968,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.33, tension=0.203) - 사람 검수 전"
-N6QKrbnaDs.002,-N6QKrbnaDs.002.mp4,-N6QKrbnaDs,,,0.7052,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.26, tension=0.295) - 사람 검수 전"
-PF2TG2loGc.002,-PF2TG2loGc.002.mp4,-PF2TG2loGc,,,0.735,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Happiness 0.31, tension=0.265) - 사람 검수 전"
-PWjgx2czwY.000,-PWjgx2czwY.000.mp4,-PWjgx2czwY,,,0.6633,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Anger 0.21, tension=0.337) - 사람 검수 전"
-R2SZu3SYgM.002,-R2SZu3SYgM.002.mp4,-R2SZu3SYgM,,,0.7512,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.31, tension=0.249) - 사람 검수 전"
-R2SZu3SYgM.003,-R2SZu3SYgM.003.mp4,-R2SZu3SYgM,,,0.7431,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Surprise 0.25, tension=0.257) - 사람 검수 전"
-RhPxhfpg4U.004,-RhPxhfpg4U.004.mp4,-RhPxhfpg4U,,,0.7384,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.26, tension=0.262) - 사람 검수 전"
-RqxrwIxMvE.002,-RqxrwIxMvE.002.mp4,-RqxrwIxMvE,,,0.6734,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.30, tension=0.327) - 사람 검수 전"
-VTqcHNgH7M.001,-VTqcHNgH7M.001.mp4,-VTqcHNgH7M,,,0.6569,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Sadness 0.24, tension=0.343) - 사람 검수 전"
-VTqcHNgH7M.005,-VTqcHNgH7M.005.mp4,-VTqcHNgH7M,,,0.6636,"EMO-AffectNet pseudo-label (teacher=Aff-Wild2, top=Neutral 0.24, tension=0.336) - 사람 검수 전"
