[device] mps 사용 (torch 2.4.1, batch=32)
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1785592049.505740  696662 gl_context.cc:357] GL version: 2.1 (2.1 Metal - 90.5), renderer: Apple M5 Pro
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
W0000 00:00:1785592049.507222  696775 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1785592049.508807  696772 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
/Users/mac/Desktop/ssafy/공통 AI 모의 면접, 면접 스터디 서비스/S15P11D202/ai-evaluate/venv/lib/python3.11/site-packages/google/protobuf/symbol_database.py:55: UserWarning: SymbolDatabase.GetPrototype() is deprecated. Please use message_factory.GetMessageClass() instead. SymbolDatabase.GetPrototype() will be removed soon.
  warnings.warn('SymbolDatabase.GetPrototype() is deprecated. Please '
[ok] --Ymqszjv54.001.mp4 top=Surprise(0.24) confidence=0.690 tension=0.310 person_id=--Ymqszjv54
[ok] --Ymqszjv54.003.mp4 top=Neutral(0.22) confidence=0.734 tension=0.267 person_id=--Ymqszjv54
[ok] --Ymqszjv54.004.mp4 top=Neutral(0.30) confidence=0.699 tension=0.301 person_id=--Ymqszjv54
[ok] --Ymqszjv54.005.mp4 top=Neutral(0.28) confidence=0.687 tension=0.313 person_id=--Ymqszjv54
[ok] -2qsCrkXdWs.001.mp4 top=Fear(0.28) confidence=0.621 tension=0.379 person_id=-2qsCrkXdWs
[ok] -55DRRMTppE.000.mp4 top=Neutral(0.26) confidence=0.714 tension=0.286 person_id=-55DRRMTppE
[ok] -55DRRMTppE.005.mp4 top=Surprise(0.21) confidence=0.719 tension=0.281 person_id=-55DRRMTppE
[ok] -5riMLK-PgU.001.mp4 top=Surprise(0.26) confidence=0.763 tension=0.237 person_id=-5riMLK-PgU
[ok] -6otZ7M-Mro.000.mp4 top=Happiness(0.23) confidence=0.767 tension=0.233 person_id=-6otZ7M-Mro
[ok] -6otZ7M-Mro.001.mp4 top=Neutral(0.21) confidence=0.719 tension=0.281 person_id=-6otZ7M-Mro
[ok] -8asrRvfJWA.003.mp4 top=Neutral(0.30) confidence=0.751 tension=0.249 person_id=-8asrRvfJWA
[ok] -8asrRvfJWA.004.mp4 top=Surprise(0.29) confidence=0.788 tension=0.212 person_id=-8asrRvfJWA
[ok] -9BZ8A9U7TE.000.mp4 top=Neutral(0.43) confidence=0.735 tension=0.265 person_id=-9BZ8A9U7TE
[ok] -9BZ8A9U7TE.003.mp4 top=Neutral(0.42) confidence=0.728 tension=0.272 person_id=-9BZ8A9U7TE
[ok] -9BZ8A9U7TE.004.mp4 top=Neutral(0.43) confidence=0.752 tension=0.248 person_id=-9BZ8A9U7TE
[ok] -AmMDnVl4s8.003.mp4 top=Happiness(0.27) confidence=0.798 tension=0.202 person_id=-AmMDnVl4s8
[ok] -C5M9g4Quzc.002.mp4 top=Happiness(0.24) confidence=0.769 tension=0.231 person_id=-C5M9g4Quzc
[ok] -DOqN0d8KHw.002.mp4 top=Neutral(0.45) confidence=0.772 tension=0.228 person_id=-DOqN0d8KHw
[ok] -DOqN0d8KHw.003.mp4 top=Neutral(0.38) confidence=0.807 tension=0.193 person_id=-DOqN0d8KHw
[ok] -Gl98Jn45Fs.000.mp4 top=Neutral(0.27) confidence=0.673 tension=0.327 person_id=-Gl98Jn45Fs
[ok] -Gl98Jn45Fs.001.mp4 top=Neutral(0.25) confidence=0.680 tension=0.320 person_id=-Gl98Jn45Fs
[ok] -Gl98Jn45Fs.003.mp4 top=Neutral(0.22) confidence=0.701 tension=0.299 person_id=-Gl98Jn45Fs
[ok] -IK--4uz5ZY.000.mp4 top=Happiness(0.26) confidence=0.760 tension=0.240 person_id=-IK--4uz5ZY
[ok] -IK--4uz5ZY.002.mp4 top=Neutral(0.22) confidence=0.700 tension=0.301 person_id=-IK--4uz5ZY
[ok] -IK--4uz5ZY.003.mp4 top=Neutral(0.26) confidence=0.730 tension=0.270 person_id=-IK--4uz5ZY
[ok] -IK--4uz5ZY.004.mp4 top=Neutral(0.24) confidence=0.722 tension=0.278 person_id=-IK--4uz5ZY
[ok] -N6QKrbnaDs.005.mp4 top=Surprise(0.25) confidence=0.702 tension=0.298 person_id=-N6QKrbnaDs
[ok] -NwfYYf5xLo.005.mp4 top=Happiness(0.46) confidence=0.842 tension=0.158 person_id=-NwfYYf5xLo
[ok] -OXMbG7ZwRk.000.mp4 top=Happiness(0.34) confidence=0.824 tension=0.177 person_id=-OXMbG7ZwRk
[ok] -OXMbG7ZwRk.003.mp4 top=Surprise(0.27) confidence=0.803 tension=0.197 person_id=-OXMbG7ZwRk
[ok] -OXMbG7ZwRk.004.mp4 top=Happiness(0.41) confidence=0.834 tension=0.166 person_id=-OXMbG7ZwRk
[ok] -OXMbG7ZwRk.005.mp4 top=Surprise(0.31) confidence=0.787 tension=0.213 person_id=-OXMbG7ZwRk
[ok] -Osv5l1vrNU.001.mp4 top=Neutral(0.37) confidence=0.753 tension=0.247 person_id=-Osv5l1vrNU
[ok] -Osv5l1vrNU.004.mp4 top=Happiness(0.43) confidence=0.845 tension=0.155 person_id=-Osv5l1vrNU
[ok] -R2SZu3SYgM.000.mp4 top=Neutral(0.31) confidence=0.736 tension=0.264 person_id=-R2SZu3SYgM
[ok] -R2SZu3SYgM.004.mp4 top=Neutral(0.31) confidence=0.710 tension=0.290 person_id=-R2SZu3SYgM
[ok] -RhPxhfpg4U.001.mp4 top=Neutral(0.23) confidence=0.745 tension=0.255 person_id=-RhPxhfpg4U
[ok] -RhPxhfpg4U.003.mp4 top=Neutral(0.24) confidence=0.733 tension=0.267 person_id=-RhPxhfpg4U
[ok] -RhPxhfpg4U.005.mp4 top=Happiness(0.44) confidence=0.828 tension=0.172 person_id=-RhPxhfpg4U
[ok] -VTqcHNgH7M.002.mp4 top=Neutral(0.24) confidence=0.707 tension=0.293 person_id=-VTqcHNgH7M
[ok] -VTqcHNgH7M.003.mp4 top=Neutral(0.27) confidence=0.668 tension=0.332 person_id=-VTqcHNgH7M
[ok] -VTqcHNgH7M.004.mp4 top=Neutral(0.21) confidence=0.708 tension=0.292 person_id=-VTqcHNgH7M
[ok] -Wqk9eex6bQ.002.mp4 top=Fear(0.32) confidence=0.620 tension=0.380 person_id=-Wqk9eex6bQ
[ok] -Wqk9eex6bQ.003.mp4 top=Fear(0.27) confidence=0.632 tension=0.368 person_id=-Wqk9eex6bQ
[ok] -Wqk9eex6bQ.004.mp4 top=Fear(0.31) confidence=0.625 tension=0.375 person_id=-Wqk9eex6bQ
[ok] -Wqk9eex6bQ.005.mp4 top=Fear(0.30) confidence=0.618 tension=0.382 person_id=-Wqk9eex6bQ
[ok] -aU2FN5pkWA.001.mp4 top=Happiness(0.85) confidence=0.954 tension=0.046 person_id=-aU2FN5pkWA
[ok] -aU2FN5pkWA.004.mp4 top=Happiness(0.32) confidence=0.838 tension=0.162 person_id=-aU2FN5pkWA
[ok] -agCXYgb7pI.004.mp4 top=Neutral(0.22) confidence=0.677 tension=0.323 person_id=-agCXYgb7pI
[ok] -awAu11kBZ0.000.mp4 top=Surprise(0.23) confidence=0.659 tension=0.341 person_id=-awAu11kBZ0
[ok] -c2HtptBFxY.002.mp4 top=Happiness(0.29) confidence=0.803 tension=0.197 person_id=-c2HtptBFxY
[ok] -c_tyGzShwk.004.mp4 top=Happiness(0.53) confidence=0.851 tension=0.149 person_id=-c_tyGzShwk
[ok] -fXqnCljdm0.000.mp4 top=Neutral(0.34) confidence=0.748 tension=0.252 person_id=-fXqnCljdm0
[ok] -fXqnCljdm0.003.mp4 top=Neutral(0.34) confidence=0.780 tension=0.220 person_id=-fXqnCljdm0
[ok] -fqiCqZtgYs.001.mp4 top=Neutral(0.34) confidence=0.712 tension=0.288 person_id=-fqiCqZtgYs
[ok] -fqiCqZtgYs.002.mp4 top=Neutral(0.29) confidence=0.688 tension=0.313 person_id=-fqiCqZtgYs
[ok] -fqiCqZtgYs.003.mp4 top=Neutral(0.28) confidence=0.671 tension=0.329 person_id=-fqiCqZtgYs
[ok] -mt-IKgGhuY.004.mp4 top=Anger(0.25) confidence=0.716 tension=0.284 person_id=-mt-IKgGhuY
[ok] -utrsarZeIY.001.mp4 top=Surprise(0.25) confidence=0.704 tension=0.296 person_id=-utrsarZeIY
[ok] -utrsarZeIY.004.mp4 top=Surprise(0.36) confidence=0.785 tension=0.215 person_id=-utrsarZeIY
[ok] -zNyDPzId4E.001.mp4 top=Neutral(0.23) confidence=0.705 tension=0.295 person_id=-zNyDPzId4E
[ok] -zNyDPzId4E.003.mp4 top=Neutral(0.27) confidence=0.703 tension=0.297 person_id=-zNyDPzId4E
[ok] 01qN-BqJXRM.005.mp4 top=Sadness(0.34) confidence=0.635 tension=0.365 person_id=01qN-BqJXRM
[ok] 04oq2yrBwMg.001.mp4 top=Neutral(0.27) confidence=0.678 tension=0.322 person_id=04oq2yrBwMg
[ok] 04oq2yrBwMg.004.mp4 top=Happiness(0.40) confidence=0.807 tension=0.193 person_id=04oq2yrBwMg
[ok] 05l5bteT_qA.000.mp4 top=Happiness(0.55) confidence=0.859 tension=0.141 person_id=05l5bteT_qA
[ok] 05l5bteT_qA.001.mp4 top=Happiness(0.31) confidence=0.805 tension=0.195 person_id=05l5bteT_qA
[ok] 0C6i34q2-f8.000.mp4 top=Neutral(0.49) confidence=0.800 tension=0.200 person_id=0C6i34q2-f8
[ok] 0C6i34q2-f8.001.mp4 top=Neutral(0.46) confidence=0.780 tension=0.220 person_id=0C6i34q2-f8
[ok] 0C6i34q2-f8.003.mp4 top=Happiness(0.37) confidence=0.814 tension=0.186 person_id=0C6i34q2-f8
[ok] 0D7W2pR4RpQ.004.mp4 top=Surprise(0.30) confidence=0.676 tension=0.324 person_id=0D7W2pR4RpQ
[ok] 0FVu7VKIg2s.000.mp4 top=Sadness(0.22) confidence=0.600 tension=0.401 person_id=0FVu7VKIg2s
[ok] 0G9vplL8ae8.001.mp4 top=Anger(0.28) confidence=0.686 tension=0.314 person_id=0G9vplL8ae8
[ok] 0G9vplL8ae8.003.mp4 top=Anger(0.24) confidence=0.721 tension=0.279 person_id=0G9vplL8ae8
[ok] 0LqfKzp11kg.000.mp4 top=Neutral(0.25) confidence=0.680 tension=0.320 person_id=0LqfKzp11kg
[ok] 0MB91ku0eEw.003.mp4 top=Neutral(0.38) confidence=0.712 tension=0.288 person_id=0MB91ku0eEw
[ok] 0ObEtA6Q8vU.002.mp4 top=Surprise(0.26) confidence=0.710 tension=0.290 person_id=0ObEtA6Q8vU
[ok] 0ObEtA6Q8vU.003.mp4 top=Neutral(0.24) confidence=0.777 tension=0.223 person_id=0ObEtA6Q8vU
[ok] 0ObEtA6Q8vU.005.mp4 top=Happiness(0.30) confidence=0.780 tension=0.220 person_id=0ObEtA6Q8vU
[ok] 0QTR0WiJSNk.001.mp4 top=Neutral(0.37) confidence=0.742 tension=0.258 person_id=0QTR0WiJSNk
[ok] 0RLFM1ehSFM.000.mp4 top=Fear(0.24) confidence=0.683 tension=0.317 person_id=0RLFM1ehSFM
[ok] 0VnZngec8sc.001.mp4 top=Neutral(0.29) confidence=0.723 tension=0.277 person_id=0VnZngec8sc
[ok] 0VnZngec8sc.003.mp4 top=Neutral(0.27) confidence=0.712 tension=0.288 person_id=0VnZngec8sc
[ok] 0VnZngec8sc.004.mp4 top=Happiness(0.30) confidence=0.763 tension=0.237 person_id=0VnZngec8sc
[ok] 0Wr69VD_oXI.004.mp4 top=Surprise(0.31) confidence=0.699 tension=0.301 person_id=0Wr69VD_oXI
[ok] 0ZK5jQAvhFo.004.mp4 top=Happiness(0.41) confidence=0.805 tension=0.195 person_id=0ZK5jQAvhFo
[ok] 0_xOGmydDN0.001.mp4 top=Happiness(0.32) confidence=0.829 tension=0.171 person_id=0_xOGmydDN0
[ok] 0_xOGmydDN0.002.mp4 top=Neutral(0.34) confidence=0.782 tension=0.218 person_id=0_xOGmydDN0
[ok] 0_xOGmydDN0.003.mp4 top=Neutral(0.30) confidence=0.810 tension=0.190 person_id=0_xOGmydDN0
[ok] 0_xOGmydDN0.004.mp4 top=Surprise(0.27) confidence=0.806 tension=0.194 person_id=0_xOGmydDN0
[ok] 0axZSeaUbfs.002.mp4 top=Neutral(0.23) confidence=0.651 tension=0.349 person_id=0axZSeaUbfs
[ok] 0axZSeaUbfs.004.mp4 top=Neutral(0.39) confidence=0.709 tension=0.291 person_id=0axZSeaUbfs
[ok] 0axZSeaUbfs.005.mp4 top=Neutral(0.21) confidence=0.703 tension=0.297 person_id=0axZSeaUbfs
[ok] 0dIqLMMn4jY.000.mp4 top=Neutral(0.37) confidence=0.735 tension=0.266 person_id=0dIqLMMn4jY
[ok] 0fMw9o1v2tY.001.mp4 top=Neutral(0.38) confidence=0.770 tension=0.230 person_id=0fMw9o1v2tY
[ok] 0fMw9o1v2tY.002.mp4 top=Neutral(0.40) confidence=0.763 tension=0.237 person_id=0fMw9o1v2tY
[ok] 0fMw9o1v2tY.003.mp4 top=Neutral(0.44) confidence=0.768 tension=0.232 person_id=0fMw9o1v2tY
[ok] 0gv5Z0qt2jc.000.mp4 top=Neutral(0.31) confidence=0.735 tension=0.265 person_id=0gv5Z0qt2jc
[ok] 0gv5Z0qt2jc.001.mp4 top=Sadness(0.27) confidence=0.662 tension=0.338 person_id=0gv5Z0qt2jc
[ok] 0gv5Z0qt2jc.002.mp4 top=Happiness(0.26) confidence=0.721 tension=0.279 person_id=0gv5Z0qt2jc
[ok] 0gv5Z0qt2jc.003.mp4 top=Happiness(0.25) confidence=0.759 tension=0.241 person_id=0gv5Z0qt2jc
[ok] 0gv5Z0qt2jc.004.mp4 top=Neutral(0.25) confidence=0.744 tension=0.256 person_id=0gv5Z0qt2jc
[ok] 0gv5Z0qt2jc.005.mp4 top=Happiness(0.59) confidence=0.868 tension=0.132 person_id=0gv5Z0qt2jc
[ok] 0hWbtuRVUgM.001.mp4 top=Neutral(0.27) confidence=0.706 tension=0.294 person_id=0hWbtuRVUgM
[ok] 0hWbtuRVUgM.005.mp4 top=Neutral(0.20) confidence=0.719 tension=0.281 person_id=0hWbtuRVUgM
[ok] 0iQIfGnKflc.001.mp4 top=Anger(0.38) confidence=0.693 tension=0.307 person_id=0iQIfGnKflc
[ok] 0iQIfGnKflc.002.mp4 top=Anger(0.37) confidence=0.693 tension=0.307 person_id=0iQIfGnKflc
[ok] 0iXXdsO95O0.000.mp4 top=Surprise(0.23) confidence=0.771 tension=0.229 person_id=0iXXdsO95O0
[ok] 0kg6pmbSN6A.000.mp4 top=Neutral(0.33) confidence=0.748 tension=0.252 person_id=0kg6pmbSN6A
[ok] 0kg6pmbSN6A.001.mp4 top=Neutral(0.39) confidence=0.767 tension=0.233 person_id=0kg6pmbSN6A
[ok] 0kg6pmbSN6A.002.mp4 top=Neutral(0.34) confidence=0.772 tension=0.228 person_id=0kg6pmbSN6A
[ok] 0kg6pmbSN6A.005.mp4 top=Happiness(0.33) confidence=0.804 tension=0.196 person_id=0kg6pmbSN6A
